序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
711,600837,海通证券,2015/09/30,115亿,80.9亿,2.28万,1.06,8.97,13.04,268亿,139.89,148亿,94.7亿,150亿,111亿,123.58,247亿,2.15,0.00,5781亿,0,11.2亿,3.80亿,4663亿,0,0,80.65,1032亿,17.85,562亿,4.89,0,34.1亿,1994/02/24
712,600838,上海九百,2015/09/30,4.01亿,4.01亿,4557,0.18,2.52,8.58,6802万,-15.66,6878万,9060万,7318万,7318万,237.81,1.80亿,0.45,50.96,11.9亿,1.57亿,1.29亿,9815万,1.79亿,1.79亿,29.9万,15.06,10.1亿,84.94,1.84亿,0.46,0,0,1994/02/24
713,600839,四川长虹,2015/09/30,46.2亿,46.1亿,9883,-0.11,2.94,-3.46,460亿,11.13,-2.18亿,1.13亿,6626万,-4.95亿,0.00,28.6亿,0.62,13.21,585亿,460亿,57.8亿,31.1亿,392亿,352亿,40.2亿,67.02,136亿,23.23,38.9亿,0.84,0,0,1994/03/11
714,600841,上柴股份,2015/09/30,8.67亿,5.22亿,1.15万,0.08,3.97,1.98,16.6亿,-25.20,5678万,8763万,6383万,6827万,-44.09,9.43亿,1.09,17.50,53.2亿,34.1亿,13.5亿,2532万,18.7亿,16.6亿,2.08亿,35.12,34.4亿,64.78,11.2亿,1.30,3.45亿,0,1994/03/11
715,600843,上工申贝,2015/09/30,5.49亿,3.05亿,8488,0.28,3.18,9.21,16.7亿,11.59,2.18亿,3958万,2.28亿,1.54亿,149.41,3.47亿,0.63,31.15,31.2亿,23.9亿,2.64亿,5287万,11.9亿,7.69亿,4.21亿,38.12,17.4亿,55.81,9.58亿,1.75,2.44亿,0,1994/03/11
716,600844,丹化科技,2015/09/30,7.79亿,5.85亿,9519,0.00,1.09,-0.09,8.09亿,18.10,-2672万,130万,590万,-79.4万,-112.17,-7.84亿,-1.01,26.38,32.7亿,8.34亿,20.9亿,1.83亿,16.6亿,11.0亿,5.67亿,50.90,8.49亿,25.97,7.98亿,1.03,1.94亿,0,1994/03/11
717,600845,宝信软件,2015/09/30,3.92亿,2.37亿,1.14万,0.58,6.84,8.67,27.4亿,5.51,2.14亿,1757万,2.64亿,2.27亿,10.34,15.0亿,3.83,26.38,54.2亿,42.1亿,2.96亿,1.30亿,26.7亿,25.6亿,1.12亿,49.25,26.8亿,49.44,6.35亿,4.57,1.14亿,0,1994/03/11
718,600846,同济科技,2015/09/30,6.25亿,6.25亿,7048,0.11,2.72,4.09,22.8亿,2.86,1.25亿,2723万,1.41亿,6979万,-11.35,7.30亿,1.17,15.86,69.3亿,57.2亿,2.09亿,2.29亿,44.1亿,34.0亿,10.0亿,63.55,17.0亿,24.53,2.19亿,0.35,0,0,1994/03/11
719,600847,万里股份,2015/09/30,1.58亿,1.34亿,2.32万,0.06,4.68,1.37,1.81亿,27.63,296万,136万,1009万,997万,62.21,-6189万,-0.39,13.07,8.84亿,5.21亿,1.92亿,2113万,1.44亿,1.22亿,2214万,16.27,7.39亿,83.60,6.80亿,4.31,0,0,1994/03/24
720,600848,自仪股份,2015/09/30,8.95亿,2.92亿,8975,0.13,3.34,4.56,5.15亿,30.85,1.39亿,2226万,1.45亿,1.13亿,699.24,1.13亿,0.13,53.95,63.8亿,51.4亿,644万,21.7万,31.2亿,12.6亿,18.6亿,48.87,29.9亿,46.83,19.8亿,2.21,1.07亿,0,1994/03/24
721,600850,华东电脑,2015/09/30,3.22亿,3.22亿,2.38万,0.56,4.72,12.20,36.8亿,0.66,2.17亿,-113万,2.26亿,1.79亿,6.80,11.8亿,3.65,18.12,40.3亿,39.4亿,3339万,2764万,23.7亿,23.7亿,804万,58.86,15.2亿,37.61,1063万,0.03,0,0,1994/03/24
722,600851,海欣股份,2015/09/30,12.1亿,7.38亿,1.15万,0.11,3.27,2.75,7.84亿,-1.77,1.11亿,1.32亿,1.55亿,1.28亿,3.88,2.47亿,0.20,23.72,52.5亿,10.9亿,3.56亿,2247万,10.7亿,4.75亿,5.97亿,20.42,39.4亿,75.13,4.37亿,0.36,4.69亿,0,1994/04/04
723,600853,龙建股份,2015/09/30,5.37亿,5.37亿,7381,0.02,1.49,1.51,39.9亿,9.32,2299万,0,2481万,1204万,-10.88,1.57亿,0.29,8.76,78.3亿,66.0亿,2.64亿,4.81亿,70.2亿,61.4亿,8.75亿,89.64,8.02亿,10.25,1.00亿,0.19,0,0,1994/04/04
724,600854,春兰股份,2015/09/30,5.19亿,5.19亿,1.22万,-0.02,3.66,-0.44,1.87亿,-52.23,-2341万,5516万,-2179万,-846万,-168.84,-6.71亿,-1.29,21.02,24.1亿,10.9亿,3.85亿,537万,5.49亿,4.21亿,1.28亿,22.75,19.0亿,78.87,15.3亿,2.95,0,0,1994/04/25
725,600855,航天长峰,2015/09/30,3.32亿,3.30亿,7392,0.02,2.50,0.55,4.67亿,15.33,272万,1466万,1465万,504万,-17.58,1.98亿,0.60,23.86,16.4亿,12.2亿,4677万,1172万,7.27亿,7.20亿,716万,44.39,8.28亿,50.52,2.61亿,0.79,0,0,1994/04/25
726,600856,长百集团,2015/09/30,5.67亿,2.35亿,1.48万,0.27,2.98,10.03,12.8亿,72.30,1.80亿,140万,1.80亿,1.31亿,34.78,4.22亿,0.74,19.71,27.8亿,12.3亿,4.89亿,8619万,8.37亿,5.94亿,2.43亿,30.12,16.9亿,60.94,7.00亿,1.23,0,0,1994/04/25
727,600857,宁波中百,2015/09/30,2.24亿,2.24亿,1.22万,0.17,2.69,6.31,8.22亿,-5.14,4370万,1672万,4411万,3739万,5.53,2.56亿,1.14,11.76,7.73亿,3.87亿,1.27亿,256万,1.70亿,1.69亿,123万,21.99,6.03亿,78.01,6508万,0.29,0,0,1994/04/25
728,600858,银座股份,2015/09/30,5.20亿,5.18亿,1.98万,0.22,5.76,3.75,111亿,7.53,2.50亿,-169万,2.34亿,1.13亿,-42.88,14.3亿,2.76,18.58,118亿,32.0亿,39.3亿,14.7亿,84.8亿,79.6亿,5.16亿,71.97,30.0亿,25.45,9.65亿,1.86,0,0,1994/05/06
729,600859,王府井,2015/09/30,4.63亿,4.63亿,1.71万,1.30,15.62,8.38,130亿,-4.42,8.17亿,8043万,8.12亿,6.03亿,23.89,21.9亿,4.74,21.46,134亿,74.8亿,21.0亿,9.25亿,61.9亿,38.7亿,23.3亿,46.13,72.3亿,53.83,32.0亿,6.93,0,0,1994/05/06
730,600860,京城股份,2015/09/30,4.22亿,3.22亿,1.48万,-0.20,1.99,-9.39,8.40亿,-44.55,-1.35亿,-348万,-1.17亿,-8246万,-191.07,-3.15亿,-0.75,5.90,23.3亿,10.5亿,10.4亿,1.57亿,10.1亿,8.71亿,1.34亿,43.10,8.38亿,35.93,6.84亿,1.62,0,1.00亿,1994/05/06
731,600861,北京城乡,2015/09/30,3.17亿,3.17亿,1.12万,0.24,7.21,3.34,18.4亿,15.69,1.16亿,252万,1.16亿,7593万,19.05,4.91亿,1.55,23.09,46.1亿,23.3亿,18.8亿,4862万,22.8亿,10.7亿,12.1亿,49.46,22.9亿,49.62,8.60亿,2.71,0,0,1994/05/20
732,600862,南通科技,2015/09/30,6.38亿,6.38亿,1.01万,-0.14,1.54,-8.85,17.5亿,247.64,-5976万,1182万,-5483万,-8690万,0.00,4770万,0.07,13.97,67.3亿,48.8亿,12.9亿,2.14亿,57.0亿,47.6亿,9.35亿,84.69,9.82亿,14.60,2.51亿,0.39,0,0,1994/05/20
733,600863,内蒙华电,2015/09/30,58.1亿,58.1亿,1.65万,0.16,1.82,8.63,88.6亿,-15.91,18.5亿,6.73亿,18.5亿,9.29亿,-35.16,26.4亿,0.46,22.89,388亿,25.8亿,218亿,42.1亿,246亿,118亿,128亿,63.43,106亿,27.26,8.30亿,0.14,0,0,1994/05/20
734,600864,哈投股份,2015/09/30,5.46亿,5.46亿,1.51万,0.13,5.98,1.65,7.53亿,-1.17,9023万,2763万,9200万,7290万,123.83,12.6亿,2.30,26.59,51.1亿,9.07亿,16.5亿,1.04亿,17.2亿,8.39亿,8.82亿,33.71,32.6亿,63.92,2832万,0.05,0,0,1994/08/09
735,600865,百大集团,2015/09/30,3.76亿,3.76亿,1.35万,0.28,3.83,7.47,7.53亿,9.22,1.31亿,2961万,1.35亿,1.04亿,-18.40,6.73亿,1.79,30.51,17.3亿,5.94亿,1.63亿,8378万,2.83亿,1.99亿,8438万,16.42,14.4亿,83.58,2.33亿,0.62,0,0,1994/08/09
736,600866,星湖科技,2015/09/30,6.45亿,5.50亿,1.09万,-0.27,2.01,-12.66,6.05亿,1.69,-1.80亿,-3632万,-1.76亿,-1.75亿,0.00,-2.84亿,-0.44,4.46,20.9亿,8.25亿,9.97亿,1.80亿,8.00亿,3.38亿,4.62亿,38.31,13.0亿,62.04,7.61亿,1.18,0,0,1994/08/18
737,600867,通化东宝,2015/09/30,11.4亿,11.3亿,2.24万,0.34,2.05,17.45,12.4亿,20.39,4.53亿,4397万,4.55亿,3.89亿,77.40,7.66亿,0.67,73.93,34.1亿,16.9亿,11.3亿,5185万,10.6亿,7.43亿,3.16亿,31.05,23.3亿,68.33,1.83亿,0.16,0,0,1994/08/24
738,600868,梅雁吉祥,2015/09/30,19.0亿,19.0亿,3132,0.00,1.12,-0.21,1.98亿,-41.39,-3572万,-116万,-994万,-447万,-133.21,-2.28亿,-0.12,32.78,26.9亿,2.77亿,18.0亿,6336万,5.49亿,1.65亿,3.84亿,20.39,21.2亿,78.84,4.11亿,0.22,0,0,1994/09/12
739,600869,智慧能源,2015/09/30,19.8亿,19.8亿,1.85万,0.13,1.62,7.72,83.3亿,4.27,2.89亿,4943万,3.25亿,2.50亿,31.29,7.00亿,0.35,18.16,111亿,77.3亿,20.0亿,3.42亿,77.8亿,68.9亿,8.87亿,69.86,32.1亿,28.80,13.5亿,0.18,0,0,1995/02/06
740,600870,*ST厦华,2015/09/30,5.23亿,3.71亿,1.31万,0.01,0.02,79.94,3022万,-86.52,-282万,0,665万,665万,0.00,-28.7亿,-5.48,7.57,6407万,5271万,4.39万,1132万,5216万,5216万,0,81.41,1191万,18.59,22.8亿,4.37,0,0,1995/02/28
741,600871,石化油服,2015/09/30,141亿,4.50亿,5029,-0.15,1.61,-9.93,366亿,-41.53,-19.9亿,-469万,-18.1亿,-20.6亿,0.00,-9.43亿,-0.07,4.11,773亿,428亿,280亿,8067万,546亿,538亿,7.29亿,70.55,228亿,29.45,88.9亿,0.63,0,21.0亿,1995/04/11
742,600872,中炬高新,2015/09/30,7.97亿,7.97亿,1.50万,0.21,3.06,7.00,20.3亿,4.60,2.24亿,2079万,2.32亿,1.69亿,-19.23,11.7亿,1.47,34.99,44.0亿,22.4亿,12.5亿,1.08亿,16.9亿,7.00亿,9.90亿,38.40,24.4亿,55.34,2.79亿,0.35,0,0,1995/01/24
743,600873,梅花生物,2015/09/30,31.1亿,31.1亿,1.25万,0.12,2.67,4.66,88.2亿,21.21,4.15亿,2849万,5.03亿,3.84亿,41.39,27.1亿,0.87,20.46,186亿,48.6亿,119亿,8.90亿,101亿,76.3亿,25.0亿,54.34,82.8亿,44.43,22.4亿,0.72,0,0,1995/02/17
744,600874,创业环保,2015/09/30,14.3亿,10.9亿,1.26万,0.23,3.08,7.63,14.9亿,12.01,4.55亿,-343万,4.58亿,3.27亿,28.45,21.9亿,1.54,46.23,101亿,29.8亿,4.60亿,62.3亿,55.6亿,18.8亿,36.7亿,54.83,44.0亿,43.39,3.82亿,0.27,0,3.40亿,1995/06/30
745,600875,东方电气,2015/09/30,23.4亿,20.0亿,1.30万,0.11,9.78,1.11,260亿,-8.68,3.34亿,1.13亿,3.54亿,2.46亿,-77.41,110亿,4.72,12.90,839亿,717亿,81.5亿,9.47亿,602亿,578亿,23.7亿,71.67,229亿,27.23,88.3亿,3.78,0,3.40亿,1995/10/10
746,600876,洛阳玻璃,2015/09/30,5.00亿,2.50亿,3328,-0.31,-0.17,0.00,4.03亿,-6.99,-1.59亿,0,-1.60亿,-1.55亿,-2238.02,-15.1亿,-3.03,-8.62,11.6亿,4.81亿,3.12亿,5217万,13.5亿,7.99亿,5.47亿,115.72,-8686万,-7.47,8.76亿,1.75,0,2.50亿,1995/10/31
747,600877,中国嘉陵,2015/09/30,6.87亿,6.87亿,6244,-0.21,0.05,-32.33,8.43亿,-19.81,-1.34亿,2951万,-1.48亿,-1.47亿,-857.09,-13.4亿,-1.96,10.00,19.7亿,7.89亿,5.33亿,1.35亿,19.5亿,18.8亿,7289万,98.94,3616万,1.84,1.11亿,0.16,0,0,1995/10/13
748,600879,航天电子,2015/09/30,10.4亿,10.4亿,7659,0.12,5.15,0.00,26.7亿,9.25,1.54亿,-191万,1.72亿,1.28亿,12.19,22.7亿,2.19,25.51,111亿,79.5亿,17.0亿,4.14亿,55.9亿,50.4亿,5.52亿,50.26,53.6亿,48.20,19.0亿,1.83,0,0,1995/11/15
749,600880,博瑞传播,2015/09/30,10.9亿,7.32亿,9908,0.10,3.31,2.90,9.23亿,-19.14,1.27亿,-324万,1.53亿,1.05亿,-51.59,14.3亿,1.31,42.80,47.4亿,15.0亿,4.99亿,2.65亿,7.47亿,4.78亿,2.70亿,15.78,36.2亿,76.43,8.05亿,0.74,0,0,1995/11/15
750,600881,亚泰集团,2015/09/30,26.0亿,18.9亿,1.12万,0.02,4.51,0.60,87.6亿,-23.63,-1.54亿,9.21亿,-8686万,5109万,-68.16,23.9亿,0.92,22.02,563亿,319亿,129亿,29.4亿,418亿,347亿,70.9亿,74.21,117亿,20.83,62.5亿,2.40,0,0,1995/11/15
751,600882,华联矿业,2015/09/30,3.99亿,3.99亿,1.30万,-0.11,3.29,-3.27,2.87亿,-59.88,-5665万,247万,-5357万,-4369万,-130.75,7.36亿,1.84,-0.08,16.6亿,5.11亿,6.80亿,2.70亿,3.33亿,2.97亿,3586万,20.00,13.1亿,78.94,0,0.00,0,0,1995/12/06
752,600883,博闻科技,2015/09/30,2.36亿,2.36亿,1.51万,0.50,3.01,16.71,950万,-10.99,1.13亿,1.21亿,1.13亿,1.19亿,0.00,3.18亿,1.35,-19.47,7.59亿,3.86亿,1895万,206万,4607万,1670万,2937万,6.07,7.11亿,93.66,687万,0.03,0,0,1995/12/08
753,600884,杉杉股份,2015/09/30,4.11亿,4.11亿,9852,1.62,10.49,15.58,30.7亿,10.58,7.92亿,7.71亿,7.96亿,6.66亿,341.28,20.0亿,4.86,21.48,93.0亿,44.6亿,7.86亿,2.41亿,47.9亿,27.2亿,20.7亿,51.54,43.1亿,46.33,5.11亿,1.24,0,0,1996/01/30
754,600885,宏发股份,2015/09/30,5.32亿,5.32亿,2.55万,0.75,5.34,14.32,32.1亿,2.61,6.19亿,1251万,6.51亿,4.01亿,14.75,14.2亿,2.66,38.77,53.5亿,31.7亿,12.3亿,3.01亿,15.6亿,15.2亿,4400万,29.25,28.4亿,53.16,6.70亿,1.26,0,0,1996/02/05
755,600886,国投电力,2015/09/30,67.9亿,67.9亿,1.45万,0.67,3.78,18.36,244亿,-4.47,81.1亿,4.47亿,92.4亿,45.4亿,-2.27,119亿,1.76,54.17,1786亿,168亿,1204亿,50.1亿,1304亿,313亿,990亿,73.00,257亿,14.38,64.6亿,0.95,0,0,1996/01/18
756,600887,伊利股份,2015/09/30,60.6亿,59.5亿,1.81万,0.60,3.18,18.74,455亿,8.96,40.4亿,1.46亿,43.0亿,36.4亿,2.23,91.1亿,1.50,34.86,394亿,201亿,141亿,9.60亿,199亿,179亿,19.8亿,50.56,193亿,49.03,34.1亿,0.56,0,0,1996/03/12
757,600888,新疆众和,2015/09/30,6.41亿,6.41亿,8558,0.05,5.04,1.04,55.8亿,62.64,-2631万,1575万,4635万,3353万,0.00,4.30亿,0.67,6.22,84.0亿,33.5亿,35.5亿,1.62亿,51.4亿,21.9亿,29.5亿,61.19,32.3亿,38.47,19.7亿,3.08,0,0,1996/02/15
758,600889,南京化纤,2015/09/30,3.07亿,3.07亿,8350,1.50,4.54,39.44,11.5亿,-23.12,5.12亿,4.79亿,5.12亿,4.59亿,0.00,7.04亿,2.29,14.20,22.3亿,6.86亿,12.4亿,3074万,8.35亿,6.46亿,1.89亿,37.39,13.9亿,62.40,2.16亿,0.70,0,0,1996/03/08
759,600890,中房股份,2015/09/30,5.79亿,5.79亿,2.21万,-0.03,0.52,-4.81,282万,-80.63,-1788万,-19.8万,-1402万,-1482万,0.00,-3.84亿,-0.66,-101.06,3.85亿,6790万,119万,0,8243万,8243万,0,21.42,3.01亿,78.18,2034万,0.04,0,0,1996/03/18
760,600891,秋林集团,2015/09/30,5.58亿,3.24亿,1.00万,0.09,1.59,5.86,3.16亿,12.68,6115万,43.8万,6015万,5113万,28.22,1.75亿,0.31,34.11,12.2亿,7.62亿,1.08亿,9902万,3.17亿,3.05亿,1258万,25.95,8.84亿,72.31,3.44亿,0.62,0,0,1996/03/25
761,600892,宝诚股份,2015/09/30,6313万,6282万,1.41万,-0.05,0.07,-57.01,557万,-92.14,-408万,0,-408万,-330万,-2057.70,-2.10亿,-3.32,47.20,1.41亿,3516万,1113万,54.5万,1.20亿,1.16亿,380万,84.75,414万,2.93,1.42亿,2.25,0,0,1996/03/15
762,600893,中航动力,2015/09/30,19.5亿,13.7亿,1.48万,0.26,7.40,3.57,139亿,-12.63,5.48亿,2.11亿,6.81亿,5.16亿,10.84,25.5亿,1.31,18.01,491亿,292亿,104亿,22.5亿,317亿,278亿,39.8亿,64.62,144亿,29.36,97.0亿,4.98,0,0,1996/04/08
763,600894,广日股份,2015/09/30,8.60亿,8.60亿,3.29万,2.33,7.30,37.73,35.8亿,6.35,6.18亿,3.06亿,23.2亿,20.0亿,296.32,27.3亿,3.17,22.49,93.9亿,53.3亿,7.89亿,1.87亿,29.3亿,24.1亿,5.17亿,31.17,62.7亿,66.84,24.3亿,2.83,0,0,1996/03/28
764,600895,张江高科,2015/09/30,15.5亿,15.5亿,1.17万,0.22,4.69,4.77,10.1亿,-10.09,4.42亿,5.26亿,4.45亿,3.44亿,137.51,24.2亿,1.56,41.69,175亿,82.7亿,3.15亿,680万,98.7亿,55.6亿,43.1亿,56.38,72.7亿,41.52,26.5亿,1.71,0,0,1996/04/22
765,600896,中海海盛,2015/09/30,5.81亿,5.81亿,8517,0.15,2.66,4.78,6.73亿,-7.84,9507万,2.36亿,1.27亿,8578万,0.00,5874万,0.10,6.34,55.9亿,5.27亿,39.2亿,47.5万,36.0亿,30.3亿,5.76亿,64.44,15.4亿,27.63,1.87亿,0.32,0,0,1996/05/03
766,600897,厦门空港,2015/09/30,2.98亿,2.98亿,1.31万,0.99,9.88,10.27,10.7亿,5.04,4.08亿,778万,4.12亿,2.95亿,-18.41,20.8亿,6.97,43.81,38.0亿,8.49亿,25.0亿,1.49亿,6.59亿,6.57亿,149万,17.33,29.4亿,77.38,1.81亿,0.61,0,0,1996/05/31
767,600898,三联商社,2015/09/30,2.53亿,2.53亿,7534,0.09,1.45,6.19,6.62亿,6.93,2741万,848万,2930万,2211万,10.87,4333万,0.17,12.84,7.28亿,5.54亿,1.17亿,42.4万,3.62亿,3.58亿,491万,49.76,3.66亿,50.24,4508万,0.18,0,0,1996/04/18
768,600900,长江电力,2015/09/30,165亿,97.5亿,4.73万,0.58,5.37,10.74,185亿,-10.47,107亿,20.4亿,123亿,94.9亿,0.46,280亿,1.69,61.91,1438亿,74.0亿,1202亿,6159万,553亿,203亿,350亿,38.45,885亿,61.55,278亿,1.69,0,0,2003/11/18
769,600917,重庆燃气,2015/09/30,15.6亿,1.56亿,4989,0.17,2.18,8.04,43.7亿,5.22,3.12亿,18.6万,3.33亿,2.72亿,2.13,6.28亿,0.40,15.03,77.6亿,31.4亿,21.1亿,2.60亿,40.9亿,20.4亿,20.5亿,52.72,33.9亿,43.70,9.93亿,0.64,0,0,2014/09/30
770,600958,东方证券,2015/09/30,52.8亿,10.0亿,6427,1.19,6.08,21.75,119亿,236.35,77.1亿,81.4亿,78.2亿,59.1亿,314.06,89.5亿,1.60,0.00,1889亿,0,4.14亿,8719万,1565亿,0,0,82.82,321亿,17.00,126亿,2.38,0,0,2015/03/23
771,600959,江苏有线,2015/09/30,29.9亿,5.97亿,2705,0.25,4.01,6.25,34.6亿,6.74,7.03亿,2141万,7.38亿,6.72亿,-1.37,11.6亿,0.23,37.29,185亿,64.1亿,84.7亿,2.06亿,58.1亿,54.4亿,3.69亿,31.46,120亿,64.92,73.6亿,2.46,0,0,2015/04/28
772,600960,渤海活塞,2015/09/30,5.25亿,5.13亿,1.33万,0.05,3.89,1.26,7.70亿,-13.72,2037万,978万,2632万,2556万,-69.84,5.08亿,0.97,22.20,29.5亿,19.7亿,7.44亿,1.51亿,8.48亿,6.93亿,1.55亿,28.78,20.4亿,69.23,9.31亿,1.77,0,0,2004/04/07
773,600961,株冶集团,2015/09/30,5.27亿,5.27亿,1.07万,-0.89,0.52,-92.94,100亿,-9.10,-5.17亿,2753万,-4.69亿,-4.72亿,0.00,-12.2亿,-2.31,1.34,64.8亿,30.8亿,28.4亿,2.92亿,62.1亿,60.0亿,2.13亿,95.83,2.73亿,4.21,8.67亿,1.64,0,0,2004/08/30
774,600962,*ST中鲁,2015/09/30,2.62亿,2.54亿,1.94万,0.01,3.00,0.39,6.87亿,1.10,-362万,0,110万,310万,0.00,-3885万,-0.15,20.53,17.6亿,9.80亿,5.86亿,1.10亿,8.24亿,8.23亿,143万,46.96,7.88亿,44.88,5.27亿,2.01,0,0,2004/06/22
775,600963,岳阳林纸,2015/09/30,10.4亿,8.43亿,7869,-0.27,4.88,-5.39,43.7亿,-9.13,-3.21亿,0,-2.81亿,-2.82亿,0.00,6703万,0.06,11.62,169亿,79.0亿,81.0亿,3.45亿,118亿,82.9亿,35.3亿,69.89,50.9亿,30.11,38.3亿,3.67,0,0,2004/05/25
776,600965,福成五丰,2015/09/30,8.19亿,3.80亿,1.29万,0.17,1.95,8.74,10.1亿,15.14,1.73亿,401万,1.77亿,1.36亿,64.19,4.23亿,0.52,41.91,20.0亿,12.4亿,5.78亿,4209万,4.05亿,4.04亿,102万,20.23,16.0亿,79.68,2.98亿,0.36,0,0,2004/07/13
777,600966,博汇纸业,2015/09/30,13.4亿,13.4亿,8736,0.04,2.95,1.49,49.7亿,-0.07,-3493万,188万,7253万,5840万,2.45,10.9亿,0.82,12.98,124亿,56.5亿,60.0亿,2.02亿,81.0亿,67.2亿,13.8亿,65.41,39.4亿,31.83,13.2亿,0.98,0,0,2004/06/08
778,600967,北方创业,2015/09/30,8.23亿,7.73亿,1.67万,-0.08,2.72,-2.97,10.6亿,-49.70,-7423万,302万,-6786万,-6825万,-135.00,5.97亿,0.73,10.38,31.9亿,22.0亿,5.15亿,1.27亿,8.31亿,8.31亿,0,26.07,22.4亿,70.27,7.15亿,0.87,0,0,2004/05/18
779,600969,郴电国际,2015/09/30,2.64亿,2.64亿,1.78万,0.36,10.13,3.69,17.0亿,0.48,1.70亿,1869万,1.74亿,9416万,-5.81,4.18亿,1.58,18.61,78.3亿,27.5亿,36.3亿,6928万,48.6亿,14.1亿,34.5亿,62.02,26.8亿,34.20,19.4亿,7.35,0,0,2004/04/08
780,600970,中材国际,2015/09/30,10.9亿,10.9亿,1.34万,0.36,4.72,8.17,143亿,-10.36,4.91亿,-173万,5.10亿,3.94亿,-20.14,32.1亿,2.94,11.47,270亿,228亿,18.2亿,9.30亿,216亿,191亿,25.3亿,79.91,51.6亿,19.07,5.50亿,0.50,0,0,2005/04/12
781,600971,恒源煤电,2015/09/30,10.0亿,10.0亿,2.21万,-0.90,6.17,-14.13,35.2亿,-38.37,-9.23亿,275万,-8.90亿,-8.99亿,-2239.18,21.0亿,2.10,-5.54,131亿,38.0亿,51.8亿,24.8亿,67.5亿,38.2亿,29.3亿,51.51,61.7亿,47.05,21.0亿,2.10,0,0,2004/08/17
782,600973,宝胜股份,2015/09/30,4.14亿,4.14亿,1.30万,0.24,5.05,4.73,86.0亿,17.13,1.19亿,0,1.24亿,1.00亿,26.30,7.62亿,1.84,9.71,101亿,80.7亿,13.2亿,2.62亿,79.1亿,71.4亿,7.68亿,78.20,20.9亿,20.67,8.75亿,2.11,0,0,2004/08/02
783,600975,新五丰,2015/09/30,3.26亿,2.34亿,6673,0.03,3.20,1.10,9.34亿,8.90,-2590万,218万,-1111万,889万,0.00,7014万,0.21,6.85,16.5亿,9.21亿,5.41亿,7070万,5.35亿,2.80亿,2.56亿,32.47,10.4亿,63.25,6.06亿,1.86,0,0,2004/06/09
784,600976,健民集团,2015/09/30,1.53亿,1.53亿,1.83万,0.47,6.31,7.48,15.2亿,15.11,7696万,2155万,8335万,7253万,-29.18,3.78亿,2.46,24.16,15.9亿,12.2亿,2.26亿,2085万,6.03亿,5.87亿,1592万,37.98,9.67亿,60.90,3.02亿,1.97,0,0,2004/04/19
785,600978,宜华木业,2015/09/30,14.8亿,14.8亿,1.35万,0.36,4.55,7.97,31.1亿,-7.70,6.34亿,-179万,6.30亿,5.27亿,17.30,25.3亿,1.70,36.72,126亿,76.0亿,24.7亿,9.93亿,58.6亿,37.9亿,20.7亿,46.46,67.5亿,53.50,24.6亿,1.66,0,0,2004/08/24
786,600979,广安爱众,2015/09/30,7.18亿,7.18亿,1.17万,0.20,2.14,9.59,11.9亿,7.71,1.63亿,2515万,1.77亿,1.40亿,70.03,2.26亿,0.31,38.35,64.9亿,11.0亿,35.8亿,8535万,44.1亿,16.1亿,28.0亿,67.96,15.3亿,23.61,5.49亿,0.76,0,0,2004/09/06
787,600980,北矿磁材,2015/09/30,1.52亿,1.30亿,7084,0.01,1.49,0.81,1.55亿,-12.45,-112万,5691,270万,182万,-42.40,-8836万,-0.58,20.52,3.35亿,1.37亿,6602万,4129万,1.08亿,9173万,1608万,32.20,2.27亿,67.80,1.67亿,3.65,0,0,2004/05/12
788,600981,汇鸿集团,2015/09/30,5.16亿,5.16亿,1.27万,0.42,2.52,11.34,302亿,7.45,10.4亿,14.1亿,11.5亿,7.35亿,55.16,8.50亿,1.65,4.24,310亿,226亿,8.23亿,1.36亿,256亿,233亿,23.6亿,82.78,44.2亿,14.25,-9.85亿,-1.91,0,0,2004/06/30
789,600982,宁波热电,2015/09/30,7.47亿,6.76亿,1.12万,0.11,3.16,3.50,8.31亿,23.80,1.07亿,1.07亿,1.19亿,8223万,-31.32,4.46亿,0.60,11.40,31.3亿,18.0亿,3.30亿,6879万,5.89亿,1.81亿,4.08亿,18.82,23.6亿,75.39,10.5亿,1.40,0,0,2004/07/06
790,600983,惠而浦,2015/09/30,7.66亿,5.33亿,2.36万,0.46,5.76,8.20,42.8亿,5.57,3.15亿,0,4.04亿,3.49亿,15.11,16.9亿,2.21,32.93,77.3亿,65.0亿,7.65亿,2.51亿,33.2亿,32.1亿,1.10亿,42.91,44.1亿,57.09,17.1亿,2.23,0,0,2004/07/27
791,600984,*ST建机,2015/09/30,5.49亿,1.42亿,2.02万,0.01,4.56,0.45,3.52亿,47.03,1033万,-10.4万,1222万,264万,0.00,-3.42亿,-0.62,25.43,49.2亿,19.1亿,21.3亿,6254万,24.2亿,22.3亿,1.93亿,49.17,25.0亿,50.83,22.7亿,4.14,0,0,2004/07/07
792,600985,雷鸣科化,2015/09/30,2.63亿,1.94亿,1.22万,0.26,4.22,6.33,6.82亿,-7.20,9107万,70.5万,9229万,6950万,-23.71,3.33亿,1.27,37.28,15.8亿,7.40亿,3.82亿,1.62亿,3.71亿,3.38亿,3288万,23.45,11.1亿,70.16,4.35亿,1.65,0,0,2004/04/28
